	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0009737	0.010379154570566807	8.681126271802281e-05	NF1;NF1;NF1;NF1;NF1;NF1	Lisch Nodules	6	7	1.0120299940659223	5.92867803837953	1.9838380203113484
HP:0002331	0.010475129486125341	8.995037029459699e-05	MDH2;NF1;SDHAF2;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SDHD	Recurrent Paroxysmal Headache	14	31	4.481847116577655	3.1237120847376025	1.9798405998879536
HP:0001095	0.010612960137258569	8.995037029459699e-05	MDH2;NF1;SDHAF2;RET;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHD;SDHD;SDHD	Hypertensive Retinopathy	14	31	4.481847116577655	3.1237120847376025	1.974163466996263
HP:0009732	0.01019318825128607	9.207630738866642e-05	MLH1;NF1;NF1;NF1;NF1	Plexiform Neurofibroma	5	5	0.7228785671899445	6.916791044776119	1.9916899550149392
HP:0009718	0.010320603104427147	9.207630738866642e-05	IFNG;IFNG;TSC1;TSC2;TSC2	Subependymal Giant-cell Astrocytoma	5	5	0.7228785671899445	6.916791044776119	1.9862949231282332
HP:0100804	0.010068881077489898	9.207630738866642e-05	IFNG;TSC1;TSC1;TSC2;TSC2	Ungual Fibroma	5	5	0.7228785671899445	6.916791044776119	1.9970187885200064
HP:0003353	0.010451243650052807	9.207630738866642e-05	PCCA;PCCA;PCCB;PCCB;MCCC2	Propionyl-coa Carboxylase Deficiency	5	5	0.7228785671899445	6.916791044776119	1.980832027426731
HP:0003001	0.010585233953258612	9.207630738866642e-05	NF1;SDHAF2;SDHB;SDHC;SDHD	Glomus Jugular Tumor	5	5	0.7228785671899445	6.916791044776119	1.97529953882677
HP:0010532	0.010630885228027574	9.840119035645018e-05	MDH2;NF1;SDHAF2;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD	Paroxysmal Vertigo	11	21	3.0360899821977667	3.6230810234541577	1.9734305705058
HP:0000096	0.011269385679672218	0.00010556801573463436	TPRKB;FAH;COQ2;MDH2;NF1;SDHAF2;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD;OSGEP	Glomerular Sclerosis	15	35	5.060149970329611	2.964339019189765	1.9480997577072365
HP:0012240	0.011395125061018889	0.00010801668676108014	SUCLG1;CACNA1S;CACNA1S;AFG3L2;NDUFS4;SCN4A;SDHA;SURF1;ISCU;CHCHD10	Increased Intramyocellular Lipid Droplets	10	18	2.6023628418838	3.842661691542289	1.943280904093754
HP:0100723	0.011828694975140767	0.0001134457196232972	KIT;KIT;KIT;NF1;SDHA;SDHB;SDHB;SDHB;SDHB;SDHC;SDHC;SDHC;SDHD	Gastrointestinal Stroma Tumor	13	28	4.048119976263689	3.2113672707889123	1.927063167152181
HP:0025116	0.013358521473720832	0.00012960760212040956	NDUFAF2;USP18;NDUFA11;NDUFAF4;NDUFA6;NDUFB9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NDUFB11;NDUFAF5;NDUFS7;FOXRED1;NUBPL	Fetal Distress	19	51	7.373361385337433	2.5768437225636522	1.8742416070803753
HP:0008163	0.01581792820670337	0.00015523337595515742	NR0B1;TXNRD2;TXNRD2;MC2R;MC2R;NF2;GATC;PDGFB;GATB;PIK3CA;QRSL1;TERT;MRAP;MRAP;NNT	Decreased Circulating Cortisol Level	15	36	5.2047256837676	2.8819962686567164	1.800850399935594
HP:0009729	0.017350072544024375	0.00017220435557245114	IFNG;IFNG;PTCH1;TSC1;TSC1;TSC2;TSC2	Cardiac Rhabdomyoma	7	10	1.445757134379889	4.8417537313432835	1.7606987049997003
HP:0001251	0.01734914916880463	0.00017412996823825325	ACADM;DNAJC19;ACO2;ANK1;PEX3;MTFMT;LYRM7;BCKDHA;BCKDHB;SUCLA2;BTD;BTD;AIFM1;LONP1;CLN5;PEX16;COX10;ATPAF2;COX20;DAB1;DBT;TELO2;TELO2;C19orf12;DLAT;DLD;DLD;DNASE1L3;NDUFAF2;TPRKB;TSFM;LRPPRC;LRPPRC;MECR;GLRX5;WDR81;ADGRV1;ADGRV1;WARS2;FGF12;TOMM40;PIBF1;PIBF1;SEMA6B;SLC19A2;MFSD8;GALT;ERAP1;GCDH;COQ2;COQ2;GCLC;GPI;RTN4IP1;ATP5MK;POLR3A;HSD17B4;NDUFA11;KCNA1;KCNB1;KCNJ11;KCNN2;KIT;BOLA3;NDUFAF4;MTHFR;MYO7A;MYO7A;NDUFA6;NDUFB8;NDUFB9;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFV2;NF2;NF2;NTRK2;OGDH;OPA1;OPA1;OPA1;OPA1;PDGFB;PDHA1;PDHB;PEX7;PEX7;PEX7;PEX13;PHYH;PHYH;PIK3CA;PIK3CA;NAXE;NDUFB11;NDUFAF5;PPP2R5D;PRODH;NDUFS7;NDUFS7;PTEN;PTEN;PROKR2;PTS;PTS;TMEM70;PEX5;SRD5A3;OXR1;DARS2;UBA5;MRPL12;DHDDS;DHDDS;PANK2;SDHA;SDHA;SDHB;SDHB;SDHB;SDHC;SDHD;SDHD;SDHD;FOXRED1;OPA3;OPA3;OPA3;NUBPL;NUBPL;PEX26;TRAK1;SLC6A8;FRMD4A;RPIA;SLC16A2;SLC16A2;NAXD;SPAST;SPR;ZNF423;SURF1;SURF1;SURF1;TBCD;TBCD;TCN2;TERT;TERT;TERT;ABCA5;TK2;AMACR;AMACR;VLDLR;NMNAT1;TWNK;TWNK;TWNK;XPA;XPA;CHCHD10;STARD7;NPHP4;MRPS22;TRAPPC6B;ALDH5A1;ALDH5A1;EPM2A;VARS2;ATP10A;PDHX	Ataxia	182	930	134.45541349732966	1.353608570052961	1.760721818876206
HP:0001638	0.02274135122127001	0.00023078654635168627	ACADS;ACADS;AGL;PEX3;ARSB;PEX16;COX10;COX15;CPT2;CPT2;DCAF8;DLD;WARS2;WARS2;SLC19A2;FXN;MYPN;MYPN;MYO18B;GTF2E2;GYS1;HADHA;HADHA;HADHB;IDH2;KCNQ1;MMUT;MMUT;GATC;OPA1;PCCA;PCCA;PCCB;PCCB;PEX7;PEX7;PEX7;PEX13;PHYH;PHYH;PEX5;RMND1;SDHA;PEX26;FLAD1;NAXD;SYNE2;TK2;ANO5;TWNK	Cardiomyopathy	50	198	28.6259912607218	1.7466644052464948	1.6431837344368816
HP:0002073	0.02474721015780818	0.0002539024572898798	GBA2;MTFMT;COX15;PET100;NDUFAF2;TACO1;COQ2;COQ2;NDUFA2;NDUFA9;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHA1;NDUFAF5;NDUFS7;MTPAP;DARS2;SDHA;FOXRED1;TTBK2;TTBK2;NDUFA12;SURF1;CHCHD10	Progressive Cerebellar Ataxia	29	97	14.023844203484922	2.0679066010155407	1.6064737535530984
HP:0003535	0.026625896411007762	0.0002791161216276045	DNAJC19;ATP5F1D;SUCLG1;ATPAF2;HTRA2;TMEM70;TMEM70;SDHA;OPA3;OPA3;TAFAZZIN	3-methylglutaconic Aciduria	11	23	3.3252414090737443	3.3080304996755356	1.5746957619644453
HP:0002666	0.026912196372416448	0.0002791161216276045	CDKN2B;IFNG;NF1;NF1;RET;RET;RET;SDHB;SDHD;TSC1;TSC2	Pheochromocytoma	11	23	3.3252414090737443	3.3080304996755356	1.5700508569186817
HP:0004099	0.028430108375609723	0.00030119998836655775	GPR101;PIK3CA;PIK3CA;PIK3CA;PIK3CA;PTEN	Macrodactyly	6	8	1.1566057075039111	5.187593283582089	1.5462214847752784
