	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0008629	0.0005801997660030531	2.911674971577717e-06	DLST;FH;MDH2;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SDHD	Pulsatile Tinnitus	14	24	3.4491017964071853	4.059027777777779	3.2364224506860664
HP:0025116	0.0007844777723403104	4.024308857773422e-06	NDUFAF1;TIMMDC1;USP18;NDUFA11;NDUFAF4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;ENPP1;NDUFB11;NDUFAF5;NDUFS7;EMC10;FOXRED1;NUBPL	Fetal Distress	22	51	7.3293413173652695	3.0016339869281046	3.105419357350095
HP:0003737	0.0008112551947135452	4.252146108122741e-06	DGUOK;NDUFAF1;TIMMDC1;POLG2;NDUFA11;NDUFAF4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;NDUFB11;NDUFAF5;NDUFS7;FDX2;FOXRED1;NUBPL;TK2;TK2;ISCU;TWNK	Mitochondrial Myopathy	26	66	9.48502994011976	2.741161616161616	3.090842509263125
HP:0003345	0.0010141907264799516	5.428923259845843e-06	DLST;FH;MDH2;RET;RET;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHD;SDHD;SDHD	Elevated Urinary Norepinephrine	15	28	4.023952095808383	3.7276785714285716	2.99388036485598
HP:0003639	0.0010034695879308233	5.483440371206684e-06	DLST;FH;MDH2;RET;RET;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD	Elevated Urinary Epinephrine	13	22	3.161676646706587	4.111742424242424	2.9984957851037186
HP:0006748	0.0010119355891041522	5.642553747653353e-06	DLST;FH;MDH2;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SDHD	Adrenal Pheochromocytoma	14	25	3.592814371257485	3.896666666666667	2.9948471299733828
HP:0002104	0.0010165472321740782	5.781633638996096e-06	ALPL;MTFMT;ATP5F1A;SUCLG1;BTD;BTD;PLAA;PLAA;CLCN7;CPT2;CRYAB;CEP57;DDC;ECHS1;ECHS1;NDUFA13;SEPSECS;TACO1;TCIRG1;FBP1;PIBF1;PIBF1;LIPT1;SRPX2;HTRA2;HSPD1;NDUFA11;KCNJ11;NDUFA2;NDUFA2;NDUFA4;NDUFA9;NDUFA10;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFS8;NDUFV2;PDHA1;NDUFAF5;PRNP;NDUFS7;AHI1;AHI1;CEP120;CEP120;TCTN1;PRRT2;SCN4A;SCN4A;SDHA;FOXRED1;CEP290;NDUFA12;SURF1;SURF1;SLC19A3;MCCC1	Apnea	61	220	31.61676646706587	1.9293560606060605	2.99287243778736
HP:0001138	0.0017621559702647818	1.0218814592814615e-05	BTD;TXN2;TXN2;TSFM;NDUFA13;NDUFAF1;TIMMDC1;NDUFA11;NDUFAF4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;NDUFB11;NDUFAF5;NDUFS7;FOXRED1;NUBPL	Optic Neuropathy	24	61	8.766467065868262	2.737704918032787	2.7539556543646575
HP:0001290	0.0019762100652640784	1.1680510032228855e-05	ACADM;ACADS;ACADSB;ACP2;ADCY6;TBC1D24;TBC1D24;ADK;PLA2G6;ALPL;GNPAT;PEX3;PEX3;CDK10;MTFMT;MTFMT;MRPS34;ATP5F1A;ATP6V1E1;CRADD;KIF1A;KIF1A;BCKDHA;TNFRSF11A;SUCLA2;BCS1L;DPM1;FCSK;BTD;AP1S2;AP1S2;SGCE;CAMK2G;SERPINH1;AIFM1;AIFM1;RAB11B;PRUNE1;AP2M1;AP1S1;CLCN6;CLCN7;CLCNKA;CCDC78;CLTC;CLTC;MTO1;TXN2;POC1A;COX4I1;MPDU1;COX6B1;COX10;CPT1A;CPT2;CRAT;PARS2;CSF1R;CSNK2B;CTBP1;CTBP1;PUS3;FBXL4;DDX11;DGUOK;C19orf12;IQSEC1;IQSEC1;DLD;DLD;DMD;GNE;MAMLD1;EXOSC3;ECHS1;EDN1;TSFM;NDUFA13;MRPS2;GLRX5;ERCC6;WAC;FBP1;FH;ARFGEF2;COA8;EBP;EBP;PTRH2;MPC1;UQCRQ;GALE;GARS1;CPLX1;CPLX1;GBE1;GCDH;GCSH;GTPBP3;HTRA2;GPX4;GPX4;GRIN2D;HSD17B10;HADHA;HADH;POLG2;POLG2;USP18;MICOS13;HLCS;ELAC2;HNRNPU;GTF2H5;HSPD1;NDUFA11;IGF2;INPPL1;KCNN3;BOLA3;MEF2C;ALDH6A1;MPI;MRPS28;DCPS;DCPS;FLVCR1;NDUFAF4;MVK;NDUFA6;NDUFA10;NDUFB3;NDUFB9;NDUFS3;NDUFV1;NDUFS8;NDUFV2;NEU1;OPHN1;OPHN1;PRDX1;PAX7;PC;PCBD1;CHMP1A;PDHA1;PDHB;PEX6;PEX6;PEX12;PEX12;RETREG1;GMPPB;GMPPB;GMPPB;EXOSC9;NDUFAF5;POU1F1;PPP1CB;PPP2R5D;PPP2R5D;PRNP;NDUFS7;AHI1;PIGG;TRMT10C;CEP120;ABCD4;RET;NARS2;LINS1;ALG13;ALG13;SARS1;FDX2;SDHA;SDHB;SDHB;SDHD;SET;FOXRED1;CEP290;CNKSR2;SIX3;SIX3;SLC1A2;SLC1A2;IARS2;SLC18A2;SMARCB1;LMBRD1;SPTAN1;SLC46A1;MCCC2;MAPK8IP3;NDUFA12;PMPCA;SUOX;SURF1;TAF1;TAF1;MLYCD;TH;SLC35A3;TK2;TK2;ASXL3;MMAB;TPI1;TUBB2A;UBA1;DNAJC12;EZR;VLDLR;TWNK;TWNK;YWHAG;ZNF148;MCCC1;WNK1;COQ8A;COQ9;ALDH5A1;C12orf4;C12orf4;EBF3	Generalized Hypotonia	226	1111	159.66467065868264	1.4154665466546654	2.7041668930803198
HP:0002910	0.002034567112027259	1.2252327874369577e-05	ACADM;ACADM;ACADVL;DNAJC19;ACOX1;ADAR;ADK;AGL;AHCY;ASAH1;SUCLG1;BCS1L;DPM1;DPM1;DPM1;BRCA1;ACSF3;ERCC8;ERCC8;COX5A;CPT1A;CPT1A;CPT2;CPT2;CYC1;FBXL4;DGUOK;DGUOK;DLD;DLD;DMD;NR1H4;PDE11A;GNE;SAR1B;BSCL2;GLRX5;ERCC6;ERCC6;F5;FAH;FBP1;RBCK1;LIPT1;SLC37A4;HADHA;HADHB;HADH;POLG2;POLG2;POLG2;USP18;MICOS13;LDHA;LIG3;SMAD4;MRPS28;MTTP;MVK;DPM3;DPM3;PHKA2;PHKA2;PSMB4;TRMT10C;SDHD;COG2;HSD3B7;HSD3B7;PALLD;AMACR;AMACR;UQCRC2;TWNK;TWNK;MRPL44	Elevated Hepatic Transaminase	76	298	42.82634730538922	1.7746085011185684	2.6915279799800778
