	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0015935	8.444333731383342e-12	5.0702877208087756e-14	RPS16;RPS18;RPS6;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RACK1;RPS9;RPS20	Small Ribosomal Subunit	12	20	0.5741314630565976	20.901136363636365	11.07343461112538
GO:0005840	3.9183877015486006e-11	2.566629498830961e-13	RPS3;MT3;CANX;RPS19;RPS9;RPS10;RPL27;RPS7;RPS23;RPS18;RPS13;RPS11;RPL23;RPS25;RPS5	Ribosome	15	40	1.1482629261131951	13.063210227272728	10.406892595316023
GO:1990904	7.187498830426062e-10	5.100299388402773e-12	GAPDH;VIM;HSPA8;EEF2;HNRNPL;DDX5;NCL;HNRNPA2B1;RPS3;ZFP36;RPL22;RPL5;RPS9;RPS5;ACTB;RPL26;RPL27;HNRNPK;RPS7;RPS8;RPS6;YBX1;HNRNPU;PABPN1;MRPL41	Ribonucleoprotein Complex	25	153	4.392105692382971	5.692030600118836	9.143422212972164
GO:0005615	6.6043707900356416e-09	5.047008245660425e-11	ENTPD6;RTN3;SOD1;CST3;POMC;COL3A1;APOE;SLPI;ALDOA;AMY2A;HSPB1;APP;APOD;S100A8;SERPING1;FABP3;GSN;S100A9;ENO1;CTSD;DCN;PSAP;CD63;GSTP1;LGALS1;UBB;UBC;SRGN;CLU;HSPA8;COL6A2;CKB;TPT1;CD59;CPA1;EZR;CTRB1;LGALS3;CEL;ATP4A;PTN;GPX3;MT3;STOM;CALR;PRDX6;PRDX5;S100A11;PRSS3;MDH1;PTGDS;TPI1;ACTB;B2M;ACTA2;FAU;GNB2;PPIA;RPS27A;YWHAZ;ACTG1;ACTG2;ACTC1;EEF1A1;HBB;PRDX1;ASAH1;SPARCL1;IGFBP7;CTRB2;HTRA1;ZG16B;GABBR1;ITM2B;CPA2;CELA3A;IGFBP4;TIMP3;C1S;MFAP4;REG1B;CELA2A;CKM;HLA-E;CPE;SPARC;DKK3;PRSS1;C7;A2M;REG1A	Extracellular Space	91	1491	42.80150057086935	2.126093683311993	8.180168552074004
GO:0042470	1.3034720272616663e-08	1.0672532974304037e-10	FLOT1;ATP1A1;CTSD;HSP90AA1;ANXA6;HSP90AB1;CD63;HSPA8;HSP90B1;STOM;CANX;BSG;MYH11;CCT4;YWHAE;RAB1A;RAN;YWHAZ;PRDX1	Melanosome	19	99	2.841950742130158	6.685548668503214	7.884898284431405
GO:1904813	1.2816101173437258e-08	1.1193101461517257e-10	CFD;CST3;FTH1;ALDOA;GSN;CTSD;HSP90AA1;HSP90AB1;GSTP1;ALDOC;HSPA8;EEF2;PKM;NME2;SRP14;PPIA;CSNK2B;EEF1A1;HBB;ASAH1;PSMD13	Ficolin-1-rich Granule Lumen	21	123	3.5309084977980754	5.947477827050998	7.8922440728194445
GO:0034774	1.7164895131104797e-08	1.5928123211178033e-10	CFD;POMC;ALDOA;S100A8;GSN;S100A9;HSP90AA1;HSP90AB1;GSTP1;ALDOC;HSPA8;EEF2;PKM;NME2;S100A11;SRP14;PPIA;CSNK2B;EEF1A1;PSMD13	Secretory Granule Lumen	20	113	3.2438427662697764	6.165526950925181	7.7653588455514635
GO:0030018	2.1186511977490903e-08	2.0816441899281455e-10	PDLIM1;MYL12B;CASQ2;TCAP;CRYAB;HSPB1;MYH7;MYH6;DES;MYL12A;HRC;MYL9;ACTN2;CSRP3;FKBP1A;FLNC;MYOZ2;SYNPO;CSRP1;PDLIM7;STUB1	Z Disc	21	127	3.645734790409395	5.760155690765927	7.673940537089011
GO:0097512	7.065917610063555e-08	7.328189661092115e-10	CRYAB;MYL2;DES;TNNI3;TNNT2;MYBPC3	Cardiac Myofibril	6	6	0.1722394389169793	34.83522727272727	7.150831430827492
GO:0031982	4.243588755894433e-07	4.632738816478639e-09	GAPDH;GSTP1;UBB;UBC;CALM1;CALM2;CALM3;CD59;PKM;EZR;STOM;KIF5B;TAGLN2;MYL6;ACTB;SNAP25;RHOA;GNB2;PPIA;RPS27A;YWHAZ;CST3	Vesicle	22	164	4.7078779970641005	4.673018292682927	6.372266709996794
GO:0005739	4.393269530785577e-07	5.035953064765127e-09	HAX1;COQ9;NIPSNAP2;CS;MFN2;SOD1;GOT2;CRYAB;ALDH2;HSP90AA1;ANXA6;HSP90AB1;GSTP1;SPARC;UBB;CLU;PDHB;SLC25A4;CKB;PKM;GLUL;PRKACA;VDAC1;TGM2;PLN;STOM;PSMB4;PRDX5;PRDX3;ECHS1;PPP2R1A;DNAJA1;BSG;MAP2K2;DLST;HSPA9;MDH2;HADHA;VDAC2;IDH2;TUFM;ACADVL;RAB7A;HADHB;RACK1;SLC25A3;SLC25A11;MCL1;MRPL51;MICOS13;SIRT2;MRPL41;GADD45GIP1;ATP5MK;TXN2;ACO2;PINK1;GABARAPL1;ISCU;GHITM;AURKAIP1;DDIT4;PFDN2;VDAC3;POLDIP2;MPC1;CHCHD2;PRDX6;GPX4;ECH1;GATD3	Mitochondrion	71	1146	32.897732833143046	2.158203434872283	6.357212151585107
GO:0048471	2.051468054672385e-06	2.4635533407637815e-08	NUPR1;EIF3G;BRI3;GAPDH;APP;APOD;HSP90AA1;ANXA6;HSP90AB1;CLU;HSPA8;HSP90B1;HNRNPL;EZR;YBX3;PRKACA;PAM;RAB3A;TGM2;NME2;MT3;PLN;STOM;CALR;PRDX6;PRDX5;DNAJA1;KIF5B;MAP2K2;PTGDS;CSNK1D;SNAP25;RPS6;GNB2;RACK1;ARF1;SET;IFITM3;KIF5A;EIF4A2;EIF4H;COPS6;SIRT2;STMN2;NDFIP1;PINK1;VPS4A;RTRAF;MRFAP1	Perinuclear Region Of Cytoplasm	49	690	19.807535475452617	2.473805994729908	5.687935241449945
GO:0032991	1.1444814914106753e-05	1.4368490339762844e-07	SOD1;CRYAB;MBP;CD74;ATP1A1;TUBB;HSP90AA1;HSP90AB1;CALM1;CALM2;CALM3;CLU;COL6A2;IFITM1;HSP90B1;GLUL;EZR;ATF4;RAB3A;PTN;YWHAQ;CANX;PRDX3;GPX4;RPL3;RPL5;ACTB;RPS7;ACTA2;RAN;RPL23;RPL11;PPIA;ARF1;HNRNPU;SET;IFITM3;IFITM2;SNTA1;DAZAP2;PKN1;HSPH1;LENG8	Protein-containing Complex	43	600	17.223943891697928	2.4965246212121213	4.9413912263561555
GO:0072562	1.4579215830667056e-05	1.909940938515335e-07	A2M;APOE;SERPING1;GSN;PRSS1;C1S;CLU;HSPA8;STOM;ACTB;PSMC5;YWHAZ;ACTG1;ACTG2;ACTC1;HBB	Blood Microparticle	16	110	3.1577230468112867	5.066942148760331	4.836265834699309
GO:0016460	2.287864853978118e-05	3.12208631820158e-07	MYL3;MYL12A;MYL9;MYH6;MYH11;MYH7;MYL6;MYL12B	Myosin Ii Complex	8	24	0.6889577556679172	11.611742424242424	4.640569633246604
GO:0071682	2.3016137124742867e-05	3.2664823430311924e-07	APOE;HSP90AA1;SPARC;HSP90B1;CALR;HBB;HSPH1	Endocytic Vesicle Lumen	7	17	0.48801174359810795	14.343917112299467	4.637967563685433
