Genes	MitoPathways_Hierarchy
 AKAP1	Signaling_cAMP_PKA_signaling
 AKAP10	Signaling_cAMP_PKA_signaling
 PDE2A	Signaling_cAMP_PKA_signaling
 PRKACA	Signaling_cAMP_PKA_signaling
 SPHKAP	Signaling_cAMP_PKA_signaling
AHCYL1	Mitochondrial_dynamics_and_surveillance
 AIFM1	Mitochondrial_dynamics_and_surveillance
 AIFM2	Mitochondrial_dynamics_and_surveillance
 AIFM3	Mitochondrial_dynamics_and_surveillance
 APOO	Mitochondrial_dynamics_and_surveillance
 APOOL	Mitochondrial_dynamics_and_surveillance
 ARL2	Mitochondrial_dynamics_and_surveillance
 ARMC10	Mitochondrial_dynamics_and_surveillance
 ARMCX1	Mitochondrial_dynamics_and_surveillance
 ARMCX3	Mitochondrial_dynamics_and_surveillance
 ATAD3A	Mitochondrial_dynamics_and_surveillance
 ATAD3B	Mitochondrial_dynamics_and_surveillance
 ATP5MD	Mitochondrial_dynamics_and_surveillance
 ATP5ME	Mitochondrial_dynamics_and_surveillance
 ATP5MG	Mitochondrial_dynamics_and_surveillance
 BAD	Mitochondrial_dynamics_and_surveillance
 BAK1	Mitochondrial_dynamics_and_surveillance
 BAX	Mitochondrial_dynamics_and_surveillance
 BBC3	Mitochondrial_dynamics_and_surveillance
 BCL2	Mitochondrial_dynamics_and_surveillance
 BCL2A1	Mitochondrial_dynamics_and_surveillance
 BCL2L1	Mitochondrial_dynamics_and_surveillance
 BCL2L10	Mitochondrial_dynamics_and_surveillance
 BCL2L11	Mitochondrial_dynamics_and_surveillance
 BCL2L13	Mitochondrial_dynamics_and_surveillance
 BCL2L2	Mitochondrial_dynamics_and_surveillance
 BID	Mitochondrial_dynamics_and_surveillance
 BIK	Mitochondrial_dynamics_and_surveillance
 BNIP3	Mitochondrial_dynamics_and_surveillance
 BNIP3L	Mitochondrial_dynamics_and_surveillance
 BOK	Mitochondrial_dynamics_and_surveillance
 CASP3	Mitochondrial_dynamics_and_surveillance
 CASP8	Mitochondrial_dynamics_and_surveillance
 CASP9	Mitochondrial_dynamics_and_surveillance
 CHCHD2	Mitochondrial_dynamics_and_surveillance
 CHCHD3	Mitochondrial_dynamics_and_surveillance
 CHCHD6	Mitochondrial_dynamics_and_surveillance
 CYCS	Mitochondrial_dynamics_and_surveillance
 DIABLO	Mitochondrial_dynamics_and_surveillance
 DNAJC11	Mitochondrial_dynamics_and_surveillance
 DNM1L	Mitochondrial_dynamics_and_surveillance
 ENDOG	Mitochondrial_dynamics_and_surveillance
 FIS1	Mitochondrial_dynamics_and_surveillance
 FKBP8	Mitochondrial_dynamics_and_surveillance
 FUNDC1	Mitochondrial_dynamics_and_surveillance
 FUNDC2	Mitochondrial_dynamics_and_surveillance
 GHITM	Mitochondrial_dynamics_and_surveillance
 HTRA2	Mitochondrial_dynamics_and_surveillance
 IFI27	Mitochondrial_dynamics_and_surveillance
 IMMT	Mitochondrial_dynamics_and_surveillance
 MARCHF5	Mitochondrial_dynamics_and_surveillance
 MCL1	Mitochondrial_dynamics_and_surveillance
 MFF	Mitochondrial_dynamics_and_surveillance
 MFN1	Mitochondrial_dynamics_and_surveillance
