Genes	MitoPathways_Hierarchy
 XPNPEP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 YME1L1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
DNAJA3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 DNLZ	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 FKBP10	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 HSPD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 HSPE1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 MAIP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 NRDC	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 PHB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 PHB2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM10	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM10B	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM13	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM8A	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM8B	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TIMM9	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
 TRAP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Chaperones
ACAD9	OXPHOS
 AIFM1	OXPHOS
 ATP5F1A	OXPHOS
 ATP5F1B	OXPHOS
 ATP5F1C	OXPHOS
 ATP5F1D	OXPHOS
 ATP5F1E	OXPHOS
 ATP5IF1	OXPHOS
 ATP5MC1	OXPHOS
 ATP5MC2	OXPHOS
 ATP5MC3	OXPHOS
 ATP5MD	OXPHOS
 ATP5ME	OXPHOS
 ATP5MF	OXPHOS
 ATP5MG	OXPHOS
 ATP5MPL	OXPHOS
 ATP5PB	OXPHOS
 ATP5PD	OXPHOS
 ATP5PF	OXPHOS
 ATP5PO	OXPHOS
 ATPAF1	OXPHOS
 ATPAF2	OXPHOS
 ATPSCKMT	OXPHOS
 BCS1L	OXPHOS
 CEP89	OXPHOS
 CMC1	OXPHOS
 CMC2	OXPHOS
 COA1	OXPHOS
 COA3	OXPHOS
 COA4	OXPHOS
 COA5	OXPHOS
 COA6	OXPHOS
 COA7	OXPHOS
 COA8	OXPHOS
 COX10	OXPHOS
 COX11	OXPHOS
 COX14	OXPHOS
 COX15	OXPHOS
 COX16	OXPHOS
 COX17	OXPHOS
 COX18	OXPHOS
 COX19	OXPHOS
 COX20	OXPHOS
 COX4I1	OXPHOS
 COX4I2	OXPHOS
 COX5A	OXPHOS
 COX5B	OXPHOS
 COX6A1	OXPHOS
 COX6A2	OXPHOS
 COX6B1	OXPHOS
 COX6B2	OXPHOS
 COX6C	OXPHOS
 COX7A1	OXPHOS
 COX7A2	OXPHOS
 COX7A2L	OXPHOS
 COX7B	OXPHOS
 COX7B2	OXPHOS
 COX7C	OXPHOS
 COX8A	OXPHOS
 COX8C	OXPHOS
 CYC1	OXPHOS
 CYCS	OXPHOS
 DMAC1	OXPHOS
 DMAC2	OXPHOS
 DMAC2L	OXPHOS
 ECSIT	OXPHOS
 FMC1	OXPHOS
 FOXRED1	OXPHOS
 HCCS	OXPHOS
 HIGD1A	OXPHOS
 HIGD2A	OXPHOS
 LYRM2	OXPHOS
 LYRM7	OXPHOS
 MT-ATP6	OXPHOS
 MT-ATP8	OXPHOS
 MT-CO1	OXPHOS
 MT-CO2	OXPHOS
 MT-CO3	OXPHOS
 MT-CYB	OXPHOS
 MT-ND1	OXPHOS
 MT-ND2	OXPHOS
 MT-ND3	OXPHOS
 MT-ND4	OXPHOS
 MT-ND4L	OXPHOS
 MT-ND5	OXPHOS
